Fecha,Título,Url,Contenido
"08 de enero, 2016","Kaambalil boon, úuch káajak tu lu’umil maaya’ob",https://www.lajornadamaya.mx/k'iintsil/82433/kaambalil-boon-uuch-kaajak-tu-lu-umil-maaya-ob,"Ap Oochel Sasil Sánchez K'iintsil  8 ti' enero, 2016  Ichil xaak’alilo’ob ma’ sen úuch beeta’ak ti’ u yúuchben kaajil Ek’ Báalam, yaan tu lak’inil u lu’umil Yucatán, j-ila’abe’ ma’ xan wa yanchaj jun jaats aj ts’íibil boono’ob tu péektsilto’ob boonil ti’ kaajo’ob je’el bix Chichén Itzá, ba’ale’ chéen jayp’éel ja’abo’ob mu’uk’anchaji.  Instituto Nacional de Antropología e Historia (INAH) tu ts’áaj k’ajóoltbil ti’ jump’éel ts’íibe’, ichil u ja’abilo’ob 770 yéetel 801 ts’o’okili’ u síijil ki’ichkelem yuum, k’uch ti’ Ek’ Báalam aj ts’íibo’ob tu xa’ak’beso’ob bix u yúuchul ts’íib ka’ach yéetel boonil; beey uchik u síijil chíikulalo’ob béeychaj u yila’al ti’ jejeláas kúuchilo’ob ti’ le baantao’.   Beyxan tu kanajo’ob boon ti’ nu’ukulo’ob wóolistako’ob je’el bix le beeta’abo’ob yéetel k’at, beyxan tu táaxil tuunicho’ob je’el bix u maako’ob yéetel pak’o’ob, tumen béeychaj tak u boniko’ob mejen ba’alo’ob ti’ le códices beetabo’ob tu sóol che’.  Aj xak’al xook Alfonso Lacadena, ti’ u najil xook Universidad Complutense tu lu’umil Madrid ku xak’altik úuchben maaya woojo’ob yéetel uláak’ máako’ob táakano’ob ti’ u meyajil Proyecto Arqueológico Ek’ Balam, ku taal u beeta’al tumen INAH, tu ya’alajo’obe’, ya’abach yits’atil meyaj beeta’abi’. Le beetike’, ti’ le baanta’o ku chíikpajal ya’abach pak’o’ob bona’antako’ob.  Leticia Vargas yéetel Víctor Castillo, aj xak’al xook’ob ti’ u Kúuchil Meyaj INAH ti’ Yucatáne’, ku tukultiko’obe’, tu káajbalile’, le máaxo’ob ku kaaniko’ob boon ti’ u yúuchben kaajil Ek Báalame’, táanxel tu’ux u taalo’ob, ts’o’okole’ káaj túun u kaambal aj boono’ob ti’ le lu’umila’.  Beey túuno’, le ka’aj túumbenkunsa’ab u táanil le píich’ túunich naajo’ob yaan ti’ le kaajo’ tumen u ajawile’, máax tu kanajo’ob boone’ yanchaj u páajtalil u jach e’esiko’ob bix u meyajo’ob; tu bono’on aj k’atuno’ob yaan u nu’ukulil u ba’altelo’ob, u paano’ob yéetel k’u’umelo’ob ti’ u búukinajo’ob.  Beyxan ichil le úuchben boono’ob xak’alta’ano’obe’, yaan u yoochel chaknul wíinik yéetel k’i’ik’. Ku tukulta’ale’ ku zchíikbesik aj ba’atel máako’ob. Beyxan yaan u boonil aj paaxo’ob juumansik baako’ob yéetel u sóol áako’ob.  Ichil jejeláas xaak’alilo’obe’, ts’o’ok u je’ets’el tak ti’ le k’iino’oba’, yanchaj maanal ti’ 5 mil jaatsil boono’ob ti’ pak’ilo’ob. Ti’ le ba’axo’ob ojéelta’ab xane’, le aj xak’al xooko’oba’ tu ya’alajo’obe’, yanchaj ka’ap’éel u jejeláasil chak  meyajnaj ti’ le aj boono’obo’, beyxan tu beetajo’ob yéetel jejeláas nu’ukulo’ob je’el bix ta’an, chúuk yéetel uláak’ ba’alo’ob, u boonilo’ob boox, sak, ch’ooj, k’ank’an yéetel ya’ax.  _________________________________________  [h1]Escuela de pintores desde época antigua en zona maya. [/h1]  Estudios recientes de arquéologos y epigrafistas revelaron que la zona maya de Ek’ Balam, al suroriente Yucatán, debió contar con una escuela de pintores, entre el año 770 y 801 después de Cristo. El doctor Alfonso Lacadena, epigrafista especializado en la cultura maya de la Universidad Complutense de Madrid y los miembros del Proyecto Arqueológico Ek’ Balam, del INAH, indicaron que dicha zona fue importante en el desarrollo de la pintura mural de esa región."
"28 de marzo, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/80001/yaax-waal,"Óscar Rodríguez K'iintsil  24 ti' marzo, 2016  ? U kúuchil “Santos Degollados” ta’aytak u chukbesik 70 ja’abo’ob káajik u meyaj ? Aj koonolo’obe’ ku k’ux óoltiko’ob ma’ tu yáantalo’ob tumen jala’achil; ts’o’ok u yéemel tak 60 por ciento ti’ le beyka’aj ku ko’onolo’ ? “U yúuchul koonol tumen nojoch mola’ayo’obe’ ku k’askúuntik k koonol ”, ku ya’alik Tony Medina ? Le kúchilo’oba’ chéen ku k’a’ajal ti’ máaxo’ob ku báaxalo’ob ti’ políticae’ tu k’iinilo’ob yéeytambal, ts’o’okole’ ku tu’ubsiko’ob ___________________________________________________  [h2]Ku jach ya’abtal máax xíimbaltik Tulum yéetel Chichén Itzá ti’ semana santa[/h2] Carlos Águila yéetel Óscar Rodríguez  ? Úuchben kaajo’ob ti’ Yucatán ku p’atiko’ob15 millono’ob ti’ peso’ob  ? 8 mil u túul wíinik tu xíimbaltajo’ob Dzibilchaltún ___________________________________________________  Ku k’a’ajsal 50 ja’abo’ob káajak u meyaj Radio Universidad Paul Antoine Matos  ? “Jump’éel kúuchil beeta’an tia’al u múuch’ul máak ti’ UADY, tia’al u yu’ubiko’ob ti’ yaano’ob ti’ jump’éel kaaj”, ku ya’alik Irma Rosa Tió Reyes ___________________________________________________  Bejla’a ti’ Pakistán / Ahora en Pakistán Oochel: Ap  Ka’atúul ko’olel ku méek’ikuba’ob yéetel ku yok’tiko’ob u láak’ts’ilo’ob kimeno’ob uchik u wa’ak’al jump’éel bomba tu kúuchil ts’ak yaj yaan tu kaajil Lahore,  tu noj lu’umil Pakistán, tu k’iinil domingo. Le bomba wáak’o’ ts’o’ok u loobiltik yéetel ts’o’ok u kíinsik ya’abach máako’ob ti’ u kaajil Lahore.   [img]x1a59139g3zc[/img]  Dos mujeres se consuelan entre sí y lloran por la muerte de familiares víctimas de la explosión de una bomba, en un hospital local en Lahore, Pakistán, el domingo. La explosión dejó decenas de personas muertas y heridas."
"20 de marzo, 2016",KIINTSIL,https://www.lajornadamaya.mx/k'iintsil/80188/kiintsil,"Isaac Carrillo Can Oochel: ch'a'aban ti' u kúuchil Facebook Jot Down K'iintsil  20 ti marzo, 2016  Chaknulkíinsaba tin táan, cha’ in kaxtik u chi’ibal ujilo’ob a wíinkilal, cha’ in beetik jump’éel bu’ulil waaj yéetelo’ob, beyo’, pa’te’ ken in jaantilech yéetel le buka’aj áak’abo’ob ta máataj teno’.  _____________________________________________  [h2]Junto al fogón II[/h2]  Desnúdate delante de mí, déjame buscar los lunares de tu cuerpo, déjame hacer con ellos una tortilla de frijoles, así, te comeré junto con todas las noches  que tomaste de mí."
"19 de marzo, 2016",Kiintsil,https://www.lajornadamaya.mx/k'iintsil/80210/kiintsil,"La Jornada Maya Fotos: Rodrigo Díaz Guzmán  Mérida  19 de marzo, 2016  (Bajo la mirada de los niños en la FILEY)"
"04 de marzo, 2016",U paax Iron maiden,https://www.lajornadamaya.mx/k'iintsil/80668/u-paax-iron-maiden,"Ts'íib yéetel oochel: Notimex K'iintsil  4 ti' marzo, 2016  U múuch’paaxil ti’ heavy metal Iron Maiden tu jach ki’imak óolt u yóol 20 mil 600 u túul máaxo’ob t’u’ulpachtik, ti jump’éel cha’anil tu beetajo’ob tu kúuchil Palacio de los deportes, ti’ u noj lu’umil México; tu’ux tu ye’esajo’ob jayp’éel ba’alo’ob ti’ maaya miaatsil.  Tu k’ayajo’ob u túumben meyajo’ob je’el bix The book of souls; ts’o’ok u máan u xíimbalto’ob u noj lu’umil Monterrey, Nuevo León. Táanil u yokol k’aay Iron Maidene’, k’aaynaj u múuch’paaxil Anthrax.  Iron Maidene’ yaan u máan k’aay ti’ 35 u p’éel noj lu’umo’ob. Ichil le múuch’paaxilo’ ti’ yaan Bruce Dickinson (voz), Steve Harris (bajo), Dave Murray (guitarra), Adrian Smith (guitarra), Janick Gers (guitarra) yéetel Nicko McBrain (batería).  Ba’ale’ tu cha’anile’, le múuch’paaxila’, tu péeksaj jach k’a’am u paaxil rock yéetel jejeláas maaya chíikulalo’ob je’el bix u p’íich tuunil naj yaan ti’ Riviera Maya. Beyxan ti’ le nojoch máabenilo’ob cha’ane’, chikpaj u yoochel Chichén Itzá. Beyxan, j-t’a’ab kamp’éel k’áak’ tia’al u sáasilkunsa’al le yáax k’aay tu beetajo’ob, [i]If eternity should fail[/i], [i]Speed of light [/i]yéetel [i]Children of the dammed[/i]."
"26 de abril, 2016",Túumben kúuchil,https://www.lajornadamaya.mx/k'iintsil/53816/tuumben-kuuchil,"Hubert Carrera Palí  Oochel: Helena Barba Meinecke K'iintsil  San Francisco de Campeche martes 26 ti' abril, 2016  U noj lu’umil Campeche’, táan u líik’sikubáa tia’al u beetik jump’éel kúuchil tu’ux bíin e’esak jejeláas ba’alo’ob, ba’ale’ yáanal ja’; tia’al ka beeta’ak le kúuchila’, tukulta’an u xu’upul 4.5 millono’ob ti’ peso’ob; ts’o’okole’, yaan u meyaj beey Centro de Capacitación de Trabajos de Arqueología, beey tu ts’áaj k’ajóoltbil máax ilik u meyaj Arqueología Subacuática tu péetlu’umil Yucatán, táaka’an ti’ INAH.  Tak beora’ ts’o’ok u beeta’al maanal ti’ táanchúumuk u meyajil le kúuchila’. Ti’ ku yantal ichil u kúuchil ichkíil Playa Bonita tu noj lu’umil Campeche; óoxnab yéetel uláak’ táanchumuk u taamil le ja’o’, le beetike’, ti’ ku ts’a’abil jump’éel nojoch cheem je’ex le ku beeta’al tu sigloil VXIII, tu’ux yaan xan u ts’a’abal nu’ukulo’ob je’el bix jobon ts’oono’ob, p’úulo’ob, ch’úuy tun wa ancla, nu’ukulo’ob beeta’an yéetel k’at, ichil uláak’ ba’alo’ob.   Le meyajila’ táak’muk’ta’an tumen u mola’ayil UNESCO yéetel táan u beeta’al tia’al u xíimbalta’al; le beetik xane’, u jala’achil le lu’umo’, ichil u meyajil Administración Portuaria Integral (API) táan u beetiko’ob jump’éel muelle yéetel jejeláas xaak’alo’ob tia’al u k’áatiko’ob ti’ Profepa yéetel Semarnat ka cha’abak u meyajo’ob te’elo’.  Le meyajo’obo’, káajo’ob tu ja’abil 2010 yéetel unaj u ts’o’oksa’al tia’al agosto ti’ le ja’aba’; ba’ale’ yaan jayp’éel ba’alo’ob ti’ le ts’ook óoxp’éel ja’abo’oba’, ts’o’ok u beetiko’ob u chan xantal.  Helena Barba, tu ts’áaj k’ajóoltbile’ u mola’ayil ti’ Subdirección de Arqueología Subacuática, ts’o’ok u beetik le meyaj yaan u beeto’, le beetik tu biinsaj tuláakal le nu’ukulo’ob k’a’abéet tia’al u béeytal u káajal u ts’a’abal. Le kúuchilo’ yaan u béeytal u xíimbalta’al tumen je’el máaxak uts tu yich báab yáanal ja’. Yaan u beeta’al sáask’alen cheemo’ob tia’al u cha’antal le yáanal ja’o’, yéetel tukulta’an xan u ye’esal bix u búulul jump’éel cheem."
"25 de abril, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/53852/yaax-waal,"Óscar Rodríguez K'iintsil  Jo', Yucatán Lunes 25 ti' abril, 2016  ? Ya’abach máak tu xíimbalil Jo’ tia’al u ch’éenel u loobilta’al ko’olel ? U kúuchil Yucatercos, tu’ux ku ko’onol ko’olele’, ma’ béeyak u xu’ulsal tumen kanaj kaajo’ob ti’ Internet, ku ya’alik Alejandra Quiñones  ? U kaláanta’al u páajtalil ko’olel ku konikubáaj, ku k’áata’al  _____________________________  [b]Bejla’a bíin beeta’ak u yéeyajil le k’eexilo’ob bíin beeta’al ti’ Escudo Yucatán te’e Congreso[/b] Óscar Rodríguez  ? Villanueva Moo je’el u kúulpachkunsik u yéeyajil, tumen ma’ éejenta’ab u tuukul meyajo’obi’  _____________________________  I’inaj ti’ Maní / Semillas en Maní Oochel Raúl Angulo Hernández  [img]s1ag15575bzv[/img]  Le sábado máaniko’, j beeta’ab tumen Escuela de Agricultura Ecológica “U Yits Ka’an” yaan tu kaajil Maní, jump’éel múuch’tambal tu’ux táakpaj máako’ob tu k’exajo’ob ba’ax u yojelo’ob yéetel u jejeláasil i’inajo’ob. Ti’ le k’iino’oba’ yaan u sajbe’entsil u k’askúunta’al i’inaj tumen le k’ajóolta’an beey Organismos Genéticamente Modificados (OGM).  Las semillas nativas de la península de Yucatán, amenazadas por la presencia de Organismos Genéticamente Modificados (OGM), fueron intercambiadas el sábado en Maní, en la Escuela de Agricultura Ecológica “U Yits Ka’an”, donde comunidades yucatecas se reunieron para compartir sus saberes y materiales del campo."
"22 de abril, 2016",U kíimil Prince,https://www.lajornadamaya.mx/k'iintsil/53927/u-kiimil-prince,"Ap Boonil: Chazk Armada K'iinstil  viernes 22 ti' abril, 2016 Jo', Yucatán  U yuumil u paaxil pop, Prince, jach k’ajóolta’ab tumen ma’alo’ob u beetik ba’ax u yojel, k’aay yéetel paax. Ichil le k’aayo’ob jach k’ajóolta’ab ti’e’, ti’ yaan [i]Little Red Corvette, Let’s Go Crazy[/i] yéetel [i]When Doves Cry[/i], ba’ale’ tu k’iinil jo’oljeake’ j kíim tu yotoch yaan Minneapolis. 57 u ja’abil.   Prince, tu káajsaj u juumsik u paax tu ts’ook u ja’abilo’ob 1970; le k’aay yáax jóok’o’obe’, tu k’abatajo’ob Why You Wanna Treat Me So Bad yéetel Wanna Be Your Lover, ba’ale’ jach k’ajóolta’ab lajun ja’abo’ob paachil yéetel u discoilo’ob [i]1999[/i] yéetel [i]Purple Rain.[/i]  Leti’e’, síij tu k’iinil 7 ti’ junio ti’ u ja’abil 1958, tu lu’umil Minneapolis. U jaajil u k’aaba’e’, Prince Rogers Nelson. Ma’ seten ka’anali’, ku p’isik 1.57 metro’ob, ba’ale’ u paaxile’, jach ki’ichaj u yu’ubal yo’olal bix u paxik guitarra. U paaxe’, yanchaj jump’íit u yóolil Jimi Hendrix, ts’o’okole’ u jejeláasil bix u jóok’sik u juumil u k’aaye’, ku beetik u yu’ubal k’aayo’ob mix juntéen yáax beeta’ano’obi’.   Tu ja’abil 2004, táakbesa’ab ti’ u kúuchil salón de la Fama ti’ Rock and Roll, tu’ux chíimpolta’ab beey juntúul máax péektsiltik paax. Tu kúuchile’ ts’íibta’an “tu patjo’oltaj u paaxil boox funk yéetel sak rock, ts’o’okole’ leti’e’ paaxil j ch’a’ab tia’al le paax jach u’uyab tu ja’abilo’ob 80”. Beyxan ku xo’okol “Prince, tu beetaj paax tajan ma’alo’ob tia’al óok’otbil, tu ts’áaj u yóol funky. Lik’ul u káajbale’, Prince tu beetaj u paaxil jach ko’ yéetel ku ye’esik u chíikulal ko’olel yéetel xiib kex tumen chéen leti’ ku chikpajal”.   Ma’ili’ k’uchuk u súutukil ti’e’, Prince, j máan k’aay yéetel láayli’ u táabsik k’aayo’ob. Tu ts’ook wakaxlajun winalo’obe’, tu jóok’saj kamp’éel almbuno’ob.  ______________________________________  [b]Prince, desciende del trono[/b]  El superastro pop Prince, aclamado como uno de los músicos más creativos e influyentes de su era con éxitos como [i]Little Red Corvette, Kiss, Let’s Go Crazy y When Doves Cry,[/i] fue hallado muerto en su casa el jueves en un suburbio de Minneapolis. Tenía 57 años. En 2004, fue incorporado al salón de la Fama del Rock and Roll, que lo reconoció como un pionero musical y social. “Prince hizo música bailable buenísima y rock con un trasfondo electrizante y funky. Desde el comienzo él y su música fueron andróginos, astutos, sexys y provocadores”, dice la dedicación del Salón."
"21 de abril, 2016",Úuchben maaya tuukul,https://www.lajornadamaya.mx/k'iintsil/53974/uuchben-maaya-tuukul,"Notimex Oochel: Rodrigo Díaz Guzmán K'iintsil  Jo', Yucatán Jueves 21 ti' abril, 2016  U yila’al bix u máan k’iin, láayli’ u beata’al ti’ mejen kaajo’ob ti’ u Péetlu’umil Yucatán. Le xok k’iino’ jump’éel ba’al úuch káajak u beeta’al, le beetike’ k’a’anan u je’ets’el beey jump’éel u chíikulal u k’ajla’ayil México, tu ya’alaj aj xak’al xook yéetel aj péektsil maaya miaatsil, Bernardo Caamal Itzá, tu tsikbalil tu k’aba’taj [i]Foro de Análisis Xook-K´iin “cabañuelas mayas 2016”,[/i] beeta’ab tu najil xook Ciencias Biológicas y Agropecuarias ti’ u noj najil xook Universidad Autónoma de Yucatán, tu k’iinil martes máaniko’.  Beyxan, tu ya’alaje’, maaya kaajo’obe’, ku k’a’abéetkunsiko’ob xok k’iin tia’al u yiliko’ob bix ken u beet u koolo’ob, tumen k’a’abéet u jach iliko’ob bix u máan k’iino’ob, beyxan bix le iik’o’, xíiwo’ob yéetel ba’alche’ob, ichil uláak’ ba’alo’ob. “Ya’abach juntéenake’ je’el bix u yila’al le xok k’iino’, beey u máan xan le k’iino’obo’, ts’o’okole’ beyo’ ku páajtal u kaláanta’al le nalo’obo’ yéetel le uláak’ ba’alo’ob ku pa’ak’alo’obo’”, tu ya’alaj. Walkila’, tu bin u p’íittal máaxo’ob beetik kool, le beetik ku bin u tu’ubul ba’alo’ob je’ex le xok k’iino’.  Ts’o’ok u máan bolonp’éel ja’abo’ob káajak u beeta’al tsikbalilo’ob tia’al u péektsilta’al le xok k’iino’; mantats’ u beeta’alo’ob ti’ mejen kaajo’ob ba’ale’ yáax juntéen u beeta’al ti’ noj kaaj.  ______________________________________  Cabañuelas, propuesta de patrimonio histórico de México  La costumbre de observar la naturaleza, vigente en muchas comunidades mayas de la península de Yucatán, tiene en las llamadas cabañuelas una de sus representaciones más antiguas y vitales que debe preservarse como parte del patrimonio histórico de México. Así lo consideró el investigador y difusor de la cultura maya, Bernardo Caamal Itzá, previo al arranque del [i]Foro de Análisis Xook-K´iin “cabañuelas mayas 2016”[/i], que se realizó en el campus de Ciencias Biológicas y Agropecuarias de la Universidad Autónoma de Yucatán."
"18 de abril, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/79315/yaax-waal,"De la redacción yéetel IMCO K'iintsil  Mérida, Yucatán lunes 18 ti' abril, 2016  ? Beey u jets’ik Instituto para la economía y paz (IEP) ? Ba'ale' le noj lu'uma' jach kaabal yaan tu p'is xookil yo'olal u meyaj a'almaj t'aan ? Campeche ti’ yaan tu bolonp’éel kúuchil yéetel Quintana Rooe’ ti’ yaan tu kúuchil ka'a tu ka'a k'áal  ___________________________________  [h2]Vinden u appil ku xak’al ilik bix yanik kis buuts’ tu kaajil Jo'[/h2] Paul Antoine Matos  ? Le nu’ukbesaja’ ku ts’áak u páajtalil ti’ jala’achil yéetel ti’ máaxo’ob k’a’abetkúunsik u yiliko’ob bix yanik kis buuts’o’ob tia’al u máan máak tu kaajil Jo’   ___________________________________  [b]U yutsil Festival Peninsular yaan u kóolik uláak’ máaxo’ob[/b] Sandra Gayou Soto   ? Ma’alo’ob uchik u jóok’ol le yáax máank’inala’ yéetele tu p’ataj ba’alo’ob utstak ku ya’alik Jairo Couoh  ___________________________________  [b]Yéetel u ch’oojil autismo / Con azul de autismo [/b] Oochel: Rodrigo Díaz Guzmán  Ichil le jejeláas meyajo’ob táan u beeta’al yo’olal u máank’inal u winalil u k’oja’nail autismo, u múuch’kabil Asociación Yucateca de Lucha contra el Autismo, tu beetaj jump’éel xíimbalil - koonol tu k’iinil jo’oljeak. Ichil tuláakal yóok’ol kaabe’,  u k’oja’anil Trastorno de Espectro Autista (TEA) ku bin u ya’abtal 17 por ciento ja’ab man ja’ab. Tu lu’umil Yucatáne’, k’expaj u a’alamaj t’aanil ti’ toj óolal u tia’al u kaláanta’al u páajtalil máaxo’ob k’oja’ano’ob ti’ TEA yéetel tia’al ma’ u p’éech’óoltalo’ob.  [img]s1ago9a9bbot[/img]  Como parte de las actividades conmemorativas del mes del autismo, la Asociación Yucateca de Lucha contra el Autismo realizó una caminata -kermés el día de ayer. El diagnóstico de Trastorno de Espectro Autista (TEA)  incrementa 17 por ciento anualmente en el mundo. En Yucatán se modificó recientemente la Ley de Salud para garantizar el derecho de las personas con TEA a la atención médica y a no ser discriminadas en ningún ámbito."
